name,latitude,longitude,避難対象_洪水,避難対象_崖崩れ、土石流及び地滑り,避難対象_高潮,避難対象_地震,避難対象_津波,避難対象_大規模な火事,避難対象_内水氾濫,避難対象_火山現象,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
第六小学校,35.6954527,139.4267976,1,1,0,1,0,0,0,0,1,1,1,1,
第三中学校,35.6896838,139.4266117,1,1,0,1,0,0,0,0,1,1,0,1,
第二小学校,35.701141,139.4205868,1,1,0,1,0,0,0,0,0,1,0,1,
第五小学校,35.7076875,139.4186785,1,1,0,1,0,0,0,0,1,1,0,1,
南砂小学校,35.7082625,139.430283,1,1,0,1,0,0,0,0,1,1,0,1,
若葉台小学校,35.7194106,139.4340048,1,1,0,1,0,0,0,0,1,1,0,1,
第九中学校,35.7222108,139.4377374,1,1,0,1,0,0,0,0,1,1,0,1,
第八小学校,35.7190473,139.4242498,1,1,0,1,0,0,0,0,1,1,0,1,
幸小学校,35.7276851,139.4211554,1,1,0,1,0,0,0,0,0,1,0,1,
第四中学校,35.726227,139.425269,1,1,0,1,0,0,0,0,1,1,0,1,
第十小学校,35.7203329,139.4103983,1,1,0,1,0,0,0,0,0,1,0,1,
柏小学校,35.727308,139.414586,1,1,0,1,0,0,0,0,0,1,0,1,
第六中学校,35.7179001,139.418231,1,1,0,1,0,0,0,0,1,1,0,1,
大山小学校,35.7199157,139.3900112,1,1,0,1,0,0,0,0,0,1,0,0,
第九小学校,35.7235515,139.3931303,0,0,0,1,0,0,0,0,1,1,0,1,
上砂川小学校,35.7325809,139.3926189,0,0,0,1,0,0,0,0,0,1,0,1,
第五中学校,35.7240707,139.3868308,0,0,0,1,0,0,0,0,1,1,0,1,
西砂小学校,35.727289,139.3639939,0,0,0,1,0,0,0,0,0,1,0,1,
松中小学校,35.7321485,139.3726845,1,1,0,1,0,0,0,0,0,1,0,1,
第七中学校,35.7336967,139.3673073,0,0,0,1,0,0,0,0,1,1,0,1,
滝ノ上会館,35.6958797,139.3990084,1,1,0,1,0,0,0,0,1,1,0,1,自動ドア・ベビーベッド
西砂学習館,35.729639,139.3721375,1,1,0,1,0,0,0,0,1,1,0,1,自動ドア
西砂会館,35.732386,139.360666,1,1,0,1,0,0,0,0,1,0,0,1,自動ドア
柴崎会館,35.692375,139.407366,1,1,0,1,0,0,0,0,1,1,0,1,自動ドア
錦学習館,35.691142,139.416246,1,1,0,1,0,0,0,0,1,0,0,1,自動ドア・ベビーベッド
さかえ会館,35.711015,139.424875,1,1,0,1,0,0,0,0,1,1,0,1,自動ドア・ベビーベッド
砂川学習館,35.722866,139.403121,1,1,0,1,0,0,0,0,0,0,0,1,自動ドア
こんぴら橋会館,35.727862,139.399474,1,1,0,1,0,0,0,0,1,1,0,1,自動ドア・ベビーベッド
上砂児童館・上砂第３学童保育所他,35.720758,139.391555,1,1,0,1,0,0,0,0,0,0,1,1,自動ドア
旧若葉小学校,35.7246355,139.4348793,0,0,0,1,0,0,0,0,0,1,0,1,
女性総合センター,35.70218,139.41397,1,1,0,0,0,0,0,0,1,1,1,1,
立川競輪場集合棟,35.70379,139.42367,1,1,0,0,0,0,0,0,1,1,0,1,
柴崎学習館,35.69462,139.40811,1,1,0,1,0,0,0,0,1,1,1,1,自動ドア・ベビーベッド・オストメイト設備
若葉会館,35.72019,139.43922,1,1,0,1,0,0,0,0,1,0,0,1,自動ドア・ベビーベッド
グリーンパーク,35.717704,139.566021,1,0,0,1,0,1,1,1,0,0,0,0,
成蹊学園グラウンド,35.71506959,139.5749953,1,0,0,1,0,1,1,1,0,0,0,0,
井の頭恩賜公園,35.70051889,139.5740688,1,0,0,1,0,1,1,1,0,0,0,0,
小金井公園,35.71613167,139.5274266,1,0,0,1,0,1,1,1,0,0,0,0,
国際基督教大学周辺,35.69072497,139.5293098,1,0,0,1,0,1,1,1,0,0,0,0,
グリーンパーク,35.71798007,139.563179,0,0,0,0,0,1,0,0,0,0,0,0,
第一小学校（校庭）,35.681979,139.570258,0,0,0,1,0,0,0,0,0,0,0,0,
第二小学校（校庭）,35.6858623,139.5425245,0,0,0,1,0,0,0,0,0,0,0,0,
第三小学校（校庭）,35.6954088,139.5575979,0,0,0,1,0,0,0,0,0,0,0,0,
第四小学校（校庭）,35.6954896,139.5686997,0,0,0,1,0,0,0,0,0,0,0,0,
第五小学校（校庭）,35.6930679,139.5818013,0,0,0,1,0,0,0,0,0,0,0,0,
第六小学校（校庭）,35.6882514,139.5654307,0,0,0,1,0,0,0,0,0,0,0,0,
第七小学校（校庭）,35.6927979,139.554826,0,0,0,1,0,0,0,0,0,0,0,0,
大沢台小学校（校庭）,35.6802794,139.5361142,0,0,0,1,0,0,0,0,0,0,0,0,
高山小学校（校庭）,35.6895404,139.5773185,0,0,0,1,0,0,0,0,0,0,0,0,
南浦小学校（校庭）,35.6862404,139.5599174,0,0,0,1,0,0,0,0,0,0,0,0,
中原小学校（校庭）,35.6701701,139.5709697,0,0,0,1,0,0,0,0,0,0,0,0,
北野小学校（校庭）,35.6797719,139.5819684,0,0,0,1,0,0,0,0,0,0,0,0,
井口小学校（校庭）,35.6922699,139.5442436,0,0,0,1,0,0,0,0,0,0,0,0,
東台小学校（校庭）,35.6674149,139.5719198,0,0,0,1,0,0,0,0,0,0,0,0,
